layers,neurons,activation,epochs,lr,batch_size,mae,mse,r2,accuracy
1,4,Sigmoid,1,10.0,16,47.45474972367287,3904.991156615515,-132059.328125,-4645.474972367287
1,4,Sigmoid,1,10.0,32,1237.939583193779,3048385.087919984,-103091328.0,-123693.95831937791
1,4,Sigmoid,1,10.0,64,666.3614659588337,892991.3480139513,-30199488.0,-66536.14659588337
1,4,Sigmoid,1,10.0,128,1372.3502116003037,3442245.521385491,-116411040.0,-137135.0211600304
1,4,Sigmoid,1,10.0,256,653.4605434296132,791249.8211625883,-26758756.0,-65246.05434296132
1,4,Sigmoid,1,10.0,512,604.7360693879127,698843.2842395422,-23633720.0,-60373.60693879127
1,4,Sigmoid,1,1.0,16,2.3633811312913893,11.47129016839865,-386.9400329589844,-136.33811312913892
1,4,Sigmoid,1,1.0,32,8.275809589400888,136.76123833580883,-4624.0390625,-727.5809589400887
1,4,Sigmoid,1,1.0,64,8.490453414693475,155.88889515665704,-5270.904296875,-749.0453414693475
1,4,Sigmoid,1,1.0,128,9.283919089227915,162.2213958383971,-5485.05859375,-828.3919089227915
1,4,Sigmoid,1,1.0,256,2.295135548233986,11.420425029004535,-385.2198181152344,-129.51355482339858
1,4,Sigmoid,1,1.0,512,4.227060028806329,33.01120675257836,-1115.38427734375,-322.70600288063287
1,4,Sigmoid,1,0.1,16,0.19969980128202588,0.07489045870928562,-1.5326712131500244,80.0300198717974
1,4,Sigmoid,1,0.1,32,0.1850761610120535,0.07573179697070402,-1.5611238479614258,81.49238389879466
1,4,Sigmoid,1,0.1,64,0.3043126707598567,0.18317777914978023,-5.194768905639648,69.56873292401433
1,4,Sigmoid,1,0.1,128,0.3012183535080403,0.16346501435899644,-4.528115749359131,69.87816464919597
1,4,Sigmoid,1,0.1,256,0.12580838211160153,0.05857588655731806,-0.9809393882751465,87.41916178883984
1,4,Sigmoid,1,0.1,512,0.09377105623017996,0.020824456674886953,0.2957514524459839,90.622894376982
1,4,Sigmoid,1,0.01,16,0.5267097152173519,0.34265752526328636,-10.588109970092773,47.32902847826481
1,4,Sigmoid,1,0.01,32,0.17641242736950516,0.14510916492305181,-3.907351493835449,82.35875726304948
1,4,Sigmoid,1,0.01,64,0.4024283121600747,0.19774511877339573,-5.687412261962891,59.75716878399253
1,4,Sigmoid,1,0.01,128,0.27618276977539064,0.10255666957034597,-2.468296766281128,72.38172302246093
1,4,Sigmoid,1,0.01,256,0.3848229999318719,0.2705820074090817,-8.150634765625,61.5177000068128
1,4,Sigmoid,1,0.01,512,0.40116079299151897,0.24131330383823127,-7.160816192626953,59.8839207008481
1,4,Sigmoid,1,0.001,16,0.4523596715182066,0.34532428042225677,-10.678295135498047,54.76403284817935
1,4,Sigmoid,1,0.001,32,0.2031611635684967,0.08296448793228246,-1.8057212829589844,79.68388364315034
1,4,Sigmoid,1,0.001,64,0.41170579655468464,0.20302580961499153,-5.865996837615967,58.829420344531535
1,4,Sigmoid,1,0.001,128,0.533618923842907,0.4372986362149769,-13.788715362548828,46.6381076157093
1,4,Sigmoid,1,0.001,256,0.16544983061775564,0.05507331876931797,-0.8624885082244873,83.45501693822443
1,4,Sigmoid,1,0.001,512,0.35697967356815935,0.22972608333291492,-6.768955230712891,64.30203264318406
1,4,Sigmoid,1,0.0001,16,0.7907180879190564,0.922369248791035,-30.19300079345703,20.92819120809436
1,4,Sigmoid,1,0.0001,32,0.31203523698449137,0.16823844432262328,-4.689545154571533,68.79647630155085
1,4,Sigmoid,1,0.0001,64,0.5723421281576156,0.4290271795036782,-13.508987426757812,42.765787184238434
1,4,Sigmoid,1,0.0001,128,0.2827840920239687,0.24412615974687182,-7.255942344665527,71.72159079760313
1,4,Sigmoid,1,0.0001,256,0.3674287613481283,0.195995024455806,-5.6282267570495605,63.25712386518717
1,4,Sigmoid,1,0.0001,512,0.33133190003037455,0.19843768398987038,-5.710833549499512,66.86680999696254
1,4,Sigmoid,10,10.0,16,114.7385589389801,32961.56379958495,-1114704.5,-11373.855893898011
1,4,Sigmoid,10,10.0,32,446.0344413651228,387350.4086914374,-13099548.0,-44503.44413651228
1,4,Sigmoid,10,10.0,64,349.83010423862936,255094.3669958566,-8626868.0,-34883.010423862936
1,4,Sigmoid,10,10.0,128,339.42756896549463,235473.6379749164,-7963327.0,-33842.756896549465
1,4,Sigmoid,10,10.0,256,134.90919272232057,43493.74180662565,-1470885.25,-13390.919272232057
1,4,Sigmoid,10,10.0,512,166.91953105926513,53242.989354615354,-1800588.75,-16591.953105926514
1,4,Sigmoid,10,1.0,16,1.8905723463594915,8.512877473204178,-286.89141845703125,-89.05723463594914
1,4,Sigmoid,10,1.0,32,1.2196704643517733,5.976937800787902,-201.130126953125,-21.96704643517733
1,4,Sigmoid,10,1.0,64,1.6519204057455064,2.8925085864757047,-96.8198471069336,-65.19204057455063
1,4,Sigmoid,10,1.0,128,3.286811547935009,19.431737711453962,-656.149169921875,-228.6811547935009
1,4,Sigmoid,10,1.0,256,2.5278851748108866,6.567196474645312,-221.09169006347656,-152.78851748108866
1,4,Sigmoid,10,1.0,512,2.1182035276293756,5.722756880404409,-192.53414916992188,-111.82035276293756
