layers,neurons,activation,epochs,lr,batch_size,accuracy
1,4,Sigmoid,50,1.0,128,0.999
1,4,Sigmoid,50,1.0,256,0.999
1,4,Sigmoid,50,1.0,512,0.999
1,4,Sigmoid,50,0.1,16,0.999
1,4,Sigmoid,50,0.1,32,0.999
1,4,Sigmoid,50,0.1,64,0.999
1,4,Sigmoid,50,0.1,128,0.999
1,4,Sigmoid,50,0.1,256,0.999
1,4,Sigmoid,50,0.1,512,0.999
1,4,Sigmoid,50,0.01,16,0.999
1,4,Sigmoid,50,0.01,32,0.999
1,4,Sigmoid,50,0.01,64,0.999
1,4,Sigmoid,50,0.01,128,0.999
1,4,Sigmoid,50,0.01,256,0.999
1,4,Sigmoid,50,0.01,512,0.999
1,4,Sigmoid,50,0.001,16,0.997
1,4,Sigmoid,50,0.001,32,0.965
1,4,Sigmoid,50,0.001,64,0.9765
1,4,Sigmoid,50,0.001,128,0.9375
1,4,Sigmoid,50,0.001,256,0.1615
1,4,Sigmoid,50,0.001,512,0.683
1,4,Sigmoid,50,0.0001,16,0.613
1,4,Sigmoid,50,0.0001,32,0.818
1,4,Sigmoid,50,0.0001,64,0.0185
1,4,Sigmoid,50,0.0001,128,0.023
1,4,Sigmoid,50,0.0001,256,0.1515
1,4,Sigmoid,50,0.0001,512,0.019
1,4,Sigmoid,100,10.0,16,0.999
1,4,Sigmoid,100,10.0,32,0.999
1,4,Sigmoid,100,10.0,64,0.999
1,4,Sigmoid,100,10.0,128,0.9985
1,4,Sigmoid,100,10.0,256,0.999
1,4,Sigmoid,100,10.0,512,0.999
1,4,Sigmoid,100,1.0,16,0.999
1,4,Sigmoid,100,1.0,32,0.999
1,4,Sigmoid,100,1.0,64,0.999
1,4,Sigmoid,100,1.0,128,0.999
1,4,Sigmoid,100,1.0,256,0.999
1,4,Sigmoid,100,1.0,512,0.999
1,4,Sigmoid,100,0.1,16,0.999
1,4,Sigmoid,100,0.1,32,0.999
1,4,Sigmoid,100,0.1,64,0.999
1,4,Sigmoid,100,0.1,128,0.999
1,4,Sigmoid,100,0.1,256,0.999
1,4,Sigmoid,100,0.1,512,0.999
1,4,Sigmoid,100,0.01,16,0.999
1,4,Sigmoid,100,0.01,32,0.999
1,4,Sigmoid,100,0.01,64,0.999
1,4,Sigmoid,100,0.01,128,0.999
1,4,Sigmoid,100,0.01,256,0.999
1,4,Sigmoid,100,0.01,512,0.999
1,4,Sigmoid,100,0.001,16,0.053
1,4,Sigmoid,100,0.001,32,0.9545
1,4,Sigmoid,100,0.001,64,0.2005
1,4,Sigmoid,100,0.001,128,0.9515
1,4,Sigmoid,100,0.001,256,0.988
1,4,Sigmoid,100,0.001,512,0.9985
1,4,Sigmoid,100,0.0001,16,0.052
1,4,Sigmoid,100,0.0001,32,0.975
